Date,Open,High,Low,Close,Volume,Adj Close
2015-11-27,167.779999,167.850006,158.550003,164.009995,1420200,161.950878
2015-11-25,169.979996,170.369995,167.25,169.429993,1298000,167.302829
2015-11-24,164.100006,165.490005,162.539993,164.979996,981400,162.908701
2015-11-23,165.00,168.350006,164.199997,164.869995,1126000,162.247105
2015-11-20,160.00,164.770004,159.350006,163.679993,1297900,161.076034
2015-11-19,156.389999,160.800003,156.00,159.220001,1124500,156.686996
2015-11-18,151.440002,154.740005,150.00,154.270004,1229900,151.815748
2015-11-17,146.820007,151.50,146.820007,150.690002,1195600,148.2927
2015-11-16,145.259995,147.690002,140.800003,145.830002,1370300,143.510016
2015-11-13,153.149994,155.960007,147.979996,148.110001,1901800,145.753743
2015-11-12,158.00,159.339996,152.820007,153.339996,3002900,150.900535
2015-11-11,148.589996,151.50,147.550003,150.070007,1217800,147.682568
2015-11-10,147.320007,148.309998,144.339996,147.110001,1016200,144.769652
2015-11-09,147.00,150.460007,146.020004,148.520004,893400,146.157224
2015-11-06,145.00,147.690002,143.880005,146.820007,684800,144.484272
2015-11-05,146.880005,148.990005,143.380005,144.869995,964200,142.565282
2015-11-04,144.229996,147.899994,144.229996,146.589996,770500,144.25792
2015-11-03,143.449997,145.00,142.210007,142.600006,672200,140.331406
2015-11-02,144.75,146.460007,143.399994,144.399994,825100,142.102758
2015-10-30,142.00,146.970001,141.75,144.529999,748300,142.230695
2015-10-29,142.380005,143.139999,139.50,140.839996,455900,138.599396
2015-10-28,143.179993,143.210007,140.550003,143.029999,531100,140.754558
2015-10-27,141.399994,143.839996,141.00,142.520004,653800,140.252677
2015-10-26,141.960007,143.139999,139.529999,140.869995,665900,138.628917
2015-10-23,143.380005,143.690002,140.300003,141.600006,832500,139.347315
2015-10-22,138.399994,140.679993,137.199997,139.199997,685800,136.985487
2015-10-21,139.00,139.00,134.800003,137.169998,701300,134.987783
2015-10-20,138.089996,139.419998,136.770004,139.199997,552400,136.985487
2015-10-19,138.00,139.75,136.449997,138.179993,1137000,135.98171
2015-10-16,134.389999,140.820007,132.360001,139.770004,1441300,137.546426
2015-10-15,131.210007,133.899994,130.75,133.389999,891500,131.26792
2015-10-14,133.229996,134.00,128.809998,129.270004,806600,127.213469
2015-10-13,130.169998,133.470001,129.940002,132.330002,450300,130.224785
2015-10-12,130.470001,134.00,130.470001,131.479996,613300,129.388302
2015-10-09,131.740005,132.440002,128.770004,129.160004,504500,127.105218
2015-10-08,128.009995,132.820007,126.620003,130.710007,650800,128.630562
2015-10-07,128.479996,130.300003,125.480003,128.25,639500,126.209692
2015-10-06,128.130005,129.479996,124.870003,126.040001,589900,124.034851
2015-10-05,123.019997,131.00,121.019997,129.169998,1267400,127.115054
2015-10-02,117.150002,125.230003,116.419998,122.699997,860300,120.747983
2015-10-01,120.809998,121.489998,116.010002,117.410004,535800,115.542147
2015-09-30,119.879997,124.050003,119.559998,120.120003,774100,118.209033
2015-09-29,113.220001,119.540001,112.519997,118.589996,768200,116.703367
2015-09-28,113.00,114.860001,112.080002,114.349998,568000,112.530823
2015-09-25,113.559998,114.25,112.110001,113.120003,447800,111.320395
2015-09-24,112.919998,114.389999,110.650002,112.900002,586700,111.103894
2015-09-23,113.419998,114.760002,112.099998,114.489998,758100,112.668595
2015-09-22,112.970001,115.389999,112.379997,113.669998,770000,111.861641
2015-09-21,116.50,117.769997,115.00,115.080002,532900,113.249213
2015-09-18,116.00,117.730003,114.540001,115.019997,548600,113.190162
2015-09-17,119.989998,119.989998,115.440002,116.370003,709800,114.518691
2015-09-16,116.739998,120.239998,115.660004,118.849998,898200,116.959233
2015-09-15,114.830002,117.959999,114.57,114.870003,655400,113.042555
2015-09-14,116.849998,117.449997,114.339996,114.800003,558300,112.973668
2015-09-11,118.32,118.800003,115.379997,117.449997,604700,115.581504
2015-09-10,114.209999,125.470001,113.269997,119.32,1751200,117.421757
2015-09-09,114.849998,120.82,113.860001,114.209999,1127200,112.393051
2015-09-08,111.440002,115.110001,110.010002,112.370003,1048500,110.582327
2015-09-04,108.269997,110.699997,106.68,107.669998,746900,105.957094
2015-09-03,110.00,111.910004,108.599998,109.239998,591500,107.502117
2015-09-02,110.489998,111.300003,106.639999,109.510002,758600,107.767825
2015-09-01,107.360001,111.940002,106.400002,110.230003,1091200,108.476372
2015-08-31,116.160004,117.010002,110.370003,111.18,636400,109.411256
2015-08-28,119.00,119.959999,116.190002,117.910004,934400,116.034193
2015-08-27,114.489998,122.00,114.489998,120.860001,1124200,118.937259
2015-08-26,115.379997,115.379997,107.110001,111.43,1135800,109.657279
